No_gen, Best, MQ, No_clus, max_clus, min_clus
1074,1.820780636266154,1.8754078428068506,9,5,1
1075,1.820780636266154,1.8754078428068506,9,5,1
1076,1.820780636266154,1.8754078428068506,9,5,1
1077,1.820780636266154,1.8754078428068506,9,5,1
1078,1.820780636266154,1.8754078428068506,9,5,1
1079,1.820780636266154,1.8754078428068506,9,5,1
1080,1.820780636266154,1.8754078428068506,9,5,1
1081,1.820780636266154,1.8754078428068506,9,5,1
1082,1.820780636266154,1.8754078428068506,9,5,1
1083,1.820780636266154,1.8754078428068506,9,5,1
1084,1.820780636266154,1.8754078428068506,9,5,1
1085,1.820780636266154,1.8754078428068506,9,5,1
1086,1.820780636266154,1.8754078428068506,9,5,1
1087,1.820780636266154,1.8754078428068506,9,5,1
1088,1.820780636266154,1.8754078428068506,9,5,1
1089,1.820780636266154,1.8754078428068506,9,5,1
1090,1.820780636266154,1.8754078428068506,9,5,1
1091,1.820780636266154,1.8754078428068506,9,5,1
1092,1.820780636266154,1.8754078428068506,9,5,1
1093,1.820780636266154,1.8754078428068506,9,5,1
1094,1.820780636266154,1.8754078428068506,9,5,1
1095,1.820780636266154,1.8754078428068506,9,5,1
1096,1.820780636266154,1.8754078428068506,9,5,1
1097,1.820780636266154,1.8754078428068506,9,5,1
1098,1.820780636266154,1.8754078428068506,9,5,1
1099,1.820780636266154,1.8754078428068506,9,5,1
1100,1.820780636266154,1.8754078428068506,9,5,1
1101,1.820780636266154,1.8754078428068506,9,5,1
1102,1.820780636266154,1.8754078428068506,9,5,1
1103,1.820780636266154,1.8754078428068506,9,5,1
1104,1.820780636266154,1.8754078428068506,9,5,1
1105,1.820780636266154,1.8754078428068506,9,5,1
1106,1.820780636266154,1.8754078428068506,9,5,1
1107,1.820780636266154,1.8754078428068506,9,5,1
1108,1.820780636266154,1.8754078428068506,9,5,1
1109,1.820780636266154,1.8754078428068506,9,5,1
1110,1.820780636266154,1.8754078428068506,9,5,1
1111,1.820780636266154,1.8754078428068506,9,5,1
1112,1.820780636266154,1.8754078428068506,9,5,1
1113,1.820780636266154,1.8754078428068506,9,5,1
1114,1.820780636266154,1.8754078428068506,9,5,1
1115,1.820780636266154,1.8754078428068506,9,5,1
1116,1.820780636266154,1.8754078428068506,9,5,1
1117,1.820780636266154,1.8754078428068506,9,5,1
1118,1.820780636266154,1.8754078428068506,9,5,1
1119,1.820780636266154,1.8754078428068506,9,5,1
1120,1.820780636266154,1.8754078428068506,9,5,1
1121,1.820780636266154,1.8754078428068506,9,5,1
1122,1.820780636266154,1.8754078428068506,9,5,1
1123,1.820780636266154,1.8754078428068506,9,5,1
1124,1.820780636266154,1.8754078428068506,9,5,1
1125,1.820780636266154,1.8754078428068506,9,5,1
1126,1.820780636266154,1.8754078428068506,9,5,1
1127,1.820780636266154,1.8754078428068506,9,5,1
1128,1.820780636266154,1.8754078428068506,9,5,1
1129,1.820780636266154,1.8754078428068506,9,5,1
1130,1.820780636266154,1.8754078428068506,9,5,1
1131,1.820780636266154,1.8754078428068506,9,5,1
1132,1.820780636266154,1.8754078428068506,9,5,1
1133,1.820780636266154,1.8754078428068506,9,5,1
1134,1.820780636266154,1.8754078428068506,9,5,1
1135,1.820780636266154,1.8754078428068506,9,5,1
1136,1.820780636266154,1.8754078428068506,9,5,1
1137,1.820780636266154,1.8754078428068506,9,5,1
1138,1.820780636266154,1.8754078428068506,9,5,1
1139,1.820780636266154,1.8754078428068506,9,5,1
1140,1.820780636266154,1.8754078428068506,9,5,1
1141,1.820780636266154,1.8754078428068506,9,5,1
1142,1.820780636266154,1.8754078428068506,9,5,1
1143,1.820780636266154,1.8754078428068506,9,5,1
1144,1.820780636266154,1.8754078428068506,9,5,1
1145,1.820780636266154,1.8754078428068506,9,5,1
1146,1.820780636266154,1.8754078428068506,9,5,1
1147,1.820780636266154,1.8754078428068506,9,5,1
1148,1.820780636266154,1.8754078428068506,9,5,1
1149,1.820780636266154,1.8754078428068506,9,5,1
1150,1.820780636266154,1.8754078428068506,9,5,1
1151,1.820780636266154,1.8754078428068506,9,5,1
1152,1.820780636266154,1.8754078428068506,9,5,1
1153,1.820780636266154,1.8754078428068506,9,5,1
1154,1.820780636266154,1.8754078428068506,9,5,1
1155,1.820780636266154,1.8754078428068506,9,5,1
1156,1.820780636266154,1.8754078428068506,9,5,1
1157,1.820780636266154,1.8754078428068506,9,5,1
1158,1.820780636266154,1.8754078428068506,9,5,1
1159,1.820780636266154,1.8754078428068506,9,5,1
1160,1.820780636266154,1.8754078428068506,9,5,1
1161,1.820780636266154,1.8754078428068506,9,5,1
1162,1.820780636266154,1.8754078428068506,9,5,1
1163,1.820780636266154,1.8754078428068506,9,5,1
1164,1.820780636266154,1.8754078428068506,9,5,1
1165,1.820780636266154,1.8754078428068506,9,5,1
1166,1.820780636266154,1.8754078428068506,9,5,1
1167,1.820780636266154,1.8754078428068506,9,5,1
1168,1.820780636266154,1.8754078428068506,9,5,1
1169,1.820780636266154,1.8754078428068506,9,5,1
1170,1.820780636266154,1.8754078428068506,9,5,1
1171,1.820780636266154,1.8754078428068506,9,5,1
1172,1.820780636266154,1.8754078428068506,9,5,1
1173,1.820780636266154,1.8754078428068506,9,5,1
1174,1.820780636266154,1.8754078428068506,9,5,1
1175,1.820780636266154,1.8754078428068506,9,5,1
1176,1.820780636266154,1.8754078428068506,9,5,1
1177,1.820780636266154,1.8754078428068506,9,5,1
1178,1.820780636266154,1.8754078428068506,9,5,1
1179,1.820780636266154,1.8754078428068506,9,5,1
1180,1.820780636266154,1.8754078428068506,9,5,1
1181,1.820780636266154,1.8754078428068506,9,5,1
1182,1.820780636266154,1.8754078428068506,9,5,1
1183,1.820780636266154,1.8754078428068506,9,5,1
1184,1.820780636266154,1.8754078428068506,9,5,1
1185,1.820780636266154,1.8754078428068506,9,5,1
1186,1.820780636266154,1.8754078428068506,9,5,1
1187,1.820780636266154,1.8754078428068506,9,5,1
1188,1.820780636266154,1.8754078428068506,9,5,1
1189,1.820780636266154,1.8754078428068506,9,5,1
1190,1.820780636266154,1.8754078428068506,9,5,1
1191,1.820780636266154,1.8754078428068506,9,5,1
1192,1.820780636266154,1.8754078428068506,9,5,1
1193,1.820780636266154,1.8754078428068506,9,5,1
1194,1.820780636266154,1.8754078428068506,9,5,1
1195,1.820780636266154,1.8754078428068506,9,5,1
1196,1.820780636266154,1.8754078428068506,9,5,1
1197,1.820780636266154,1.8754078428068506,9,5,1
1198,1.820780636266154,1.8754078428068506,9,5,1
1199,1.820780636266154,1.8754078428068506,9,5,1
1200,1.820780636266154,1.8754078428068506,9,5,1
1201,1.820780636266154,1.8754078428068506,9,5,1
1202,1.820780636266154,1.8754078428068506,9,5,1
1203,1.820780636266154,1.8754078428068506,9,5,1
1204,1.820780636266154,1.8754078428068506,9,5,1
1205,1.820780636266154,1.8754078428068506,9,5,1
1206,1.820780636266154,1.8754078428068506,9,5,1
1207,1.820780636266154,1.8754078428068506,9,5,1
1208,1.820780636266154,1.8754078428068506,9,5,1
1209,1.820780636266154,1.8754078428068506,9,5,1
1210,1.820780636266154,1.8754078428068506,9,5,1
1211,1.820780636266154,1.8754078428068506,9,5,1
1212,1.820780636266154,1.8754078428068506,9,5,1
1213,1.820780636266154,1.8754078428068506,9,5,1
1214,1.820780636266154,1.8754078428068506,9,5,1
1215,1.820780636266154,1.8754078428068506,9,5,1
1216,1.820780636266154,1.8754078428068506,9,5,1
1217,1.820780636266154,1.8754078428068506,9,5,1
1218,1.820780636266154,1.8754078428068506,9,5,1
1219,1.820780636266154,1.8754078428068506,9,5,1
1220,1.820780636266154,1.8754078428068506,9,5,1
1221,1.820780636266154,1.8754078428068506,9,5,1
1222,1.820780636266154,1.8754078428068506,9,5,1
1223,1.820780636266154,1.8754078428068506,9,5,1
1224,1.820780636266154,1.8754078428068506,9,5,1
1225,1.820780636266154,1.8754078428068506,9,5,1
1226,1.820780636266154,1.8754078428068506,9,5,1
1227,1.820780636266154,1.8754078428068506,9,5,1
1228,1.820780636266154,1.8754078428068506,9,5,1
1229,1.820780636266154,1.8754078428068506,9,5,1
1230,1.820780636266154,1.8754078428068506,9,5,1
1231,1.820780636266154,1.8754078428068506,9,5,1
1232,1.820780636266154,1.8754078428068506,9,5,1
1233,1.820780636266154,1.8754078428068506,9,5,1
1234,1.820780636266154,1.8754078428068506,9,5,1
1235,1.820780636266154,1.8754078428068506,9,5,1
1236,1.820780636266154,1.8754078428068506,9,5,1
1237,1.820780636266154,1.8754078428068506,9,5,1
1238,1.820780636266154,1.8754078428068506,9,5,1
1239,1.820780636266154,1.8754078428068506,9,5,1
1240,1.820780636266154,1.8754078428068506,9,5,1
1241,1.820780636266154,1.8754078428068506,9,5,1
1242,1.820780636266154,1.8754078428068506,9,5,1
1243,1.820780636266154,1.8754078428068506,9,5,1
1244,1.820780636266154,1.8754078428068506,9,5,1
1245,1.820780636266154,1.8754078428068506,9,5,1
1246,1.820780636266154,1.8754078428068506,9,5,1
1247,1.820780636266154,1.8754078428068506,9,5,1
1248,1.820780636266154,1.8754078428068506,9,5,1
1249,1.820780636266154,1.8754078428068506,9,5,1
1250,1.820780636266154,1.8754078428068506,9,5,1
1251,1.820780636266154,1.8754078428068506,9,5,1
1252,1.820780636266154,1.8754078428068506,9,5,1
1253,1.820780636266154,1.8754078428068506,9,5,1
1254,1.820780636266154,1.8754078428068506,9,5,1
1255,1.820780636266154,1.8754078428068506,9,5,1
1256,1.820780636266154,1.8754078428068506,9,5,1
1257,1.820780636266154,1.8754078428068506,9,5,1
1258,1.820780636266154,1.8754078428068506,9,5,1
1259,1.820780636266154,1.8754078428068506,9,5,1
1260,1.820780636266154,1.8754078428068506,9,5,1
1261,1.820780636266154,1.8754078428068506,9,5,1
1262,1.820780636266154,1.8754078428068506,9,5,1
1263,1.820780636266154,1.8754078428068506,9,5,1
1264,1.820780636266154,1.8754078428068506,9,5,1
1265,1.820780636266154,1.8754078428068506,9,5,1
1266,1.820780636266154,1.8754078428068506,9,5,1
1267,1.820780636266154,1.8754078428068506,9,5,1
1268,1.820780636266154,1.8754078428068506,9,5,1
1269,1.820780636266154,1.8754078428068506,9,5,1
1270,1.820780636266154,1.8754078428068506,9,5,1
1271,1.820780636266154,1.8754078428068506,9,5,1
1272,1.820780636266154,1.8754078428068506,9,5,1
1273,1.820780636266154,1.8754078428068506,9,5,1
1274,1.820780636266154,1.8754078428068506,9,5,1
1275,1.820780636266154,1.8754078428068506,9,5,1
1276,1.820780636266154,1.8754078428068506,9,5,1
1277,1.820780636266154,1.8754078428068506,9,5,1
1278,1.820780636266154,1.8754078428068506,9,5,1
1279,1.820780636266154,1.8754078428068506,9,5,1
1280,1.820780636266154,1.8754078428068506,9,5,1
1281,1.820780636266154,1.8754078428068506,9,5,1
1282,1.820780636266154,1.8754078428068506,9,5,1
1283,1.820780636266154,1.8754078428068506,9,5,1
1284,1.820780636266154,1.8754078428068506,9,5,1
1285,1.820780636266154,1.8754078428068506,9,5,1
1286,1.820780636266154,1.8754078428068506,9,5,1
1287,1.820780636266154,1.8754078428068506,9,5,1
1288,1.820780636266154,1.8754078428068506,9,5,1
1289,1.820780636266154,1.8754078428068506,9,5,1
1290,1.820780636266154,1.8754078428068506,9,5,1
1291,1.820780636266154,1.8754078428068506,9,5,1
1292,1.820780636266154,1.8754078428068506,9,5,1
1293,1.820780636266154,1.8754078428068506,9,5,1
1294,1.820780636266154,1.8754078428068506,9,5,1
1295,1.820780636266154,1.8754078428068506,9,5,1
1296,1.820780636266154,1.8754078428068506,9,5,1
1297,1.820780636266154,1.8754078428068506,9,5,1
1298,1.820780636266154,1.8754078428068506,9,5,1
1299,1.820780636266154,1.8754078428068506,9,5,1
1300,1.820780636266154,1.8754078428068506,9,5,1
1301,1.820780636266154,1.8754078428068506,9,5,1
1302,1.820780636266154,1.8754078428068506,9,5,1
1303,1.820780636266154,1.8754078428068506,9,5,1
1304,1.820780636266154,1.8754078428068506,9,5,1
1305,1.820780636266154,1.8754078428068506,9,5,1
1306,1.820780636266154,1.8754078428068506,9,5,1
1307,1.820780636266154,1.8754078428068506,9,5,1
1308,1.820780636266154,1.8754078428068506,9,5,1
1309,1.820780636266154,1.8754078428068506,9,5,1
1310,1.820780636266154,1.8754078428068506,9,5,1
1311,1.820780636266154,1.8754078428068506,9,5,1
1312,1.820780636266154,1.8754078428068506,9,5,1
1313,1.820780636266154,1.8754078428068506,9,5,1
1314,1.820780636266154,1.8754078428068506,9,5,1
1315,1.820780636266154,1.8754078428068506,9,5,1
1316,1.820780636266154,1.8754078428068506,9,5,1
1317,1.820780636266154,1.8754078428068506,9,5,1
1318,1.820780636266154,1.8754078428068506,9,5,1
1319,1.820780636266154,1.8754078428068506,9,5,1
1320,1.820780636266154,1.8754078428068506,9,5,1
1321,1.820780636266154,1.8754078428068506,9,5,1
1322,1.820780636266154,1.8754078428068506,9,5,1
1323,1.820780636266154,1.8754078428068506,9,5,1
1324,1.820780636266154,1.8754078428068506,9,5,1
1325,1.820780636266154,1.8754078428068506,9,5,1
1326,1.820780636266154,1.8754078428068506,9,5,1
1327,1.820780636266154,1.8754078428068506,9,5,1
1328,1.820780636266154,1.8754078428068506,9,5,1
1329,1.820780636266154,1.8754078428068506,9,5,1
1330,1.820780636266154,1.8754078428068506,9,5,1
1331,1.820780636266154,1.8754078428068506,9,5,1
1332,1.820780636266154,1.8754078428068506,9,5,1
1333,1.820780636266154,1.8754078428068506,9,5,1
1334,1.820780636266154,1.8754078428068506,9,5,1
1335,1.820780636266154,1.8754078428068506,9,5,1
1336,1.820780636266154,1.8754078428068506,9,5,1
1337,1.820780636266154,1.8754078428068506,9,5,1
1338,1.820780636266154,1.8754078428068506,9,5,1
1339,1.820780636266154,1.8754078428068506,9,5,1
1340,1.820780636266154,1.8754078428068506,9,5,1
1341,1.820780636266154,1.8754078428068506,9,5,1
1342,1.820780636266154,1.8754078428068506,9,5,1
1343,1.820780636266154,1.8754078428068506,9,5,1
1344,1.820780636266154,1.8754078428068506,9,5,1
1345,1.820780636266154,1.8754078428068506,9,5,1
1346,1.820780636266154,1.8754078428068506,9,5,1
1347,1.820780636266154,1.8754078428068506,9,5,1
1348,1.820780636266154,1.8754078428068506,9,5,1
1349,1.820780636266154,1.8754078428068506,9,5,1
1350,1.820780636266154,1.8754078428068506,9,5,1
1351,1.820780636266154,1.8754078428068506,9,5,1
1352,1.820780636266154,1.8754078428068506,9,5,1
1353,1.820780636266154,1.8754078428068506,9,5,1
1354,1.820780636266154,1.8754078428068506,9,5,1
1355,1.820780636266154,1.8754078428068506,9,5,1
1356,1.820780636266154,1.8754078428068506,9,5,1
1357,1.820780636266154,1.8754078428068506,9,5,1
1358,1.820780636266154,1.8754078428068506,9,5,1
1359,1.820780636266154,1.8754078428068506,9,5,1
1360,1.820780636266154,1.8754078428068506,9,5,1
1361,1.820780636266154,1.8754078428068506,9,5,1
1362,1.820780636266154,1.8754078428068506,9,5,1
1363,1.820780636266154,1.8754078428068506,9,5,1
1364,1.820780636266154,1.8754078428068506,9,5,1
1365,1.820780636266154,1.8754078428068506,9,5,1
1366,1.820780636266154,1.8754078428068506,9,5,1
1367,1.820780636266154,1.8754078428068506,9,5,1
1368,1.820780636266154,1.8754078428068506,9,5,1
1369,1.820780636266154,1.8754078428068506,9,5,1
1370,1.820780636266154,1.8754078428068506,9,5,1
1371,1.820780636266154,1.8754078428068506,9,5,1
1372,1.820780636266154,1.8754078428068506,9,5,1
1373,1.820780636266154,1.8754078428068506,9,5,1
1374,1.820780636266154,1.8754078428068506,9,5,1
1375,1.820780636266154,1.8754078428068506,9,5,1
1376,1.820780636266154,1.8754078428068506,9,5,1
1377,1.820780636266154,1.8754078428068506,9,5,1
1378,1.820780636266154,1.8754078428068506,9,5,1
1379,1.820780636266154,1.8754078428068506,9,5,1
1380,1.820780636266154,1.8754078428068506,9,5,1
1381,1.820780636266154,1.8754078428068506,9,5,1
1382,1.820780636266154,1.8754078428068506,9,5,1
1383,1.820780636266154,1.8754078428068506,9,5,1
1384,1.820780636266154,1.8754078428068506,9,5,1
1385,1.820780636266154,1.8754078428068506,9,5,1
1386,1.820780636266154,1.8754078428068506,9,5,1
1387,1.820780636266154,1.8754078428068506,9,5,1
1388,1.820780636266154,1.8754078428068506,9,5,1
1389,1.820780636266154,1.8754078428068506,9,5,1
1390,1.820780636266154,1.8754078428068506,9,5,1
1391,1.820780636266154,1.8754078428068506,9,5,1
1392,1.820780636266154,1.8754078428068506,9,5,1
1393,1.820780636266154,1.8754078428068506,9,5,1
1394,1.820780636266154,1.8754078428068506,9,5,1
1395,1.820780636266154,1.8754078428068506,9,5,1
1396,1.820780636266154,1.8754078428068506,9,5,1
1397,1.820780636266154,1.8754078428068506,9,5,1
1398,1.820780636266154,1.8754078428068506,9,5,1
1399,1.820780636266154,1.8754078428068506,9,5,1
1400,1.820780636266154,1.8754078428068506,9,5,1
1401,1.820780636266154,1.8754078428068506,9,5,1
1402,1.820780636266154,1.8754078428068506,9,5,1
1403,1.820780636266154,1.8754078428068506,9,5,1
1404,1.820780636266154,1.8754078428068506,9,5,1
1405,1.820780636266154,1.8754078428068506,9,5,1
1406,1.820780636266154,1.8754078428068506,9,5,1
1407,1.820780636266154,1.8754078428068506,9,5,1
1408,1.820780636266154,1.8754078428068506,9,5,1
1409,1.820780636266154,1.8754078428068506,9,5,1
1410,1.820780636266154,1.8754078428068506,9,5,1
1411,1.820780636266154,1.8754078428068506,9,5,1
1412,1.820780636266154,1.8754078428068506,9,5,1
1413,1.820780636266154,1.8754078428068506,9,5,1
1414,1.820780636266154,1.8754078428068506,9,5,1
1415,1.820780636266154,1.8754078428068506,9,5,1
1416,1.820780636266154,1.8754078428068506,9,5,1
1417,1.820780636266154,1.8754078428068506,9,5,1
1418,1.820780636266154,1.8754078428068506,9,5,1
1419,1.820780636266154,1.8754078428068506,9,5,1
1420,1.820780636266154,1.8754078428068506,9,5,1
1421,1.820780636266154,1.8754078428068506,9,5,1
1422,1.820780636266154,1.8754078428068506,9,5,1
1423,1.820780636266154,1.8754078428068506,9,5,1
1424,1.820780636266154,1.8754078428068506,9,5,1
1425,1.820780636266154,1.8754078428068506,9,5,1
1426,1.820780636266154,1.8754078428068506,9,5,1
1427,1.820780636266154,1.8754078428068506,9,5,1
1428,1.820780636266154,1.8754078428068506,9,5,1
1429,1.820780636266154,1.8754078428068506,9,5,1
1430,1.820780636266154,1.8754078428068506,9,5,1
1431,1.820780636266154,1.8754078428068506,9,5,1
1432,1.820780636266154,1.8754078428068506,9,5,1
1433,1.820780636266154,1.8754078428068506,9,5,1
1434,1.820780636266154,1.8754078428068506,9,5,1
1435,1.820780636266154,1.8754078428068506,9,5,1
1436,1.820780636266154,1.8754078428068506,9,5,1
1437,1.820780636266154,1.8754078428068506,9,5,1
1438,1.820780636266154,1.8754078428068506,9,5,1
1439,1.820780636266154,1.8754078428068506,9,5,1
1440,1.820780636266154,1.8754078428068506,9,5,1
1441,1.820780636266154,1.8754078428068506,9,5,1
1442,1.820780636266154,1.8754078428068506,9,5,1
1443,1.820780636266154,1.8754078428068506,9,5,1
1444,1.820780636266154,1.8754078428068506,9,5,1
1445,1.820780636266154,1.8754078428068506,9,5,1
1446,1.820780636266154,1.8754078428068506,9,5,1
1447,1.820780636266154,1.8754078428068506,9,5,1
1448,1.820780636266154,1.8754078428068506,9,5,1
1449,1.820780636266154,1.8754078428068506,9,5,1
1450,1.820780636266154,1.8754078428068506,9,5,1
enhanced,1.820780636266154,1.8754078428068506,9,5,1
